"Date","Price","Open","High","Low","Change %"
"Mar 10, 2010","1.3660","1.3600","1.3680","1.3543","0.43%"
"Mar 09, 2010","1.3601","1.3630","1.3636","1.3535","-0.21%"
"Mar 08, 2010","1.3630","1.3632","1.3706","1.3607","0.06%"
"Mar 05, 2010","1.3622","1.3581","1.3630","1.3527","0.31%"
"Mar 04, 2010","1.3580","1.3695","1.3714","1.3550","-0.88%"
"Mar 03, 2010","1.3700","1.3616","1.3738","1.3592","0.70%"
"Mar 02, 2010","1.3605","1.3557","1.3623","1.3433","0.32%"
"Mar 01, 2010","1.3561","1.3624","1.3657","1.3458","-0.48%"
"Feb 26, 2010","1.3626","1.3548","1.3685","1.3531","0.52%"
"Feb 25, 2010","1.3556","1.3536","1.3572","1.3451","0.18%"
"Feb 24, 2010","1.3531","1.3510","1.3627","1.3501","0.19%"
"Feb 23, 2010","1.3506","1.3592","1.3693","1.3495","-0.68%"
"Feb 22, 2010","1.3598","1.3636","1.3653","1.3571","-0.12%"
"Feb 19, 2010","1.3615","1.3529","1.3619","1.3443","-0.01%"
"Feb 18, 2010","1.3617","1.3606","1.3656","1.3539","0.08%"
"Feb 17, 2010","1.3606","1.3765","1.3790","1.3585","-1.18%"
"Feb 16, 2010","1.3769","1.3596","1.3779","1.3588","1.25%"
"Feb 15, 2010","1.3599","1.3614","1.3636","1.3579","-0.14%"
"Feb 12, 2010","1.3618","1.3694","1.3699","1.3532","-0.47%"
"Feb 11, 2010","1.3682","1.3732","1.3802","1.3594","-0.33%"
"Feb 10, 2010","1.3727","1.3792","1.3816","1.3676","-0.46%"
"Feb 09, 2010","1.3790","1.3651","1.3840","1.3642","1.00%"
"Feb 08, 2010","1.3653","1.3664","1.3714","1.3620","-0.08%"
"Feb 05, 2010","1.3664","1.3729","1.3748","1.3586","-0.52%"
"Feb 04, 2010","1.3736","1.3890","1.3905","1.3727","-1.17%"
"Feb 03, 2010","1.3899","1.3963","1.4026","1.3889","-0.46%"
"Feb 02, 2010","1.3963","1.3931","1.3977","1.3887","0.24%"
"Feb 01, 2010","1.3929","1.3864","1.3939","1.3851","0.47%"
"Jan 29, 2010","1.3864","1.3973","1.3990","1.3861","-0.71%"
"Jan 28, 2010","1.3963","1.4021","1.4053","1.3936","-0.40%"
"Jan 27, 2010","1.4019","1.4075","1.4098","1.3994","-0.40%"
"Jan 26, 2010","1.4076","1.4150","1.4181","1.4042","-0.54%"
"Jan 25, 2010","1.4152","1.4161","1.4199","1.4128","0.10%"
"Jan 22, 2010","1.4138","1.4080","1.4182","1.4065","0.33%"
"Jan 21, 2010","1.4091","1.4106","1.4144","1.4026","-0.07%"
"Jan 20, 2010","1.4101","1.4291","1.4297","1.4078","-1.40%"
"Jan 19, 2010","1.4301","1.4385","1.4415","1.4251","-0.59%"
"Jan 18, 2010","1.4386","1.4340","1.4403","1.4334","0.01%"
"Jan 15, 2010","1.4385","1.4504","1.4514","1.4338","-0.81%"
"Jan 14, 2010","1.4503","1.4510","1.4556","1.4446","-0.06%"
"Jan 13, 2010","1.4512","1.4484","1.4584","1.4456","0.12%"
"Jan 12, 2010","1.4495","1.4514","1.4548","1.4453","-0.13%"
"Jan 11, 2010","1.4514","1.4432","1.4558","1.4407","0.70%"
"Jan 08, 2010","1.4413","1.4320","1.4440","1.4263","0.66%"
"Jan 07, 2010","1.4318","1.4407","1.4447","1.4295","-0.66%"
"Jan 06, 2010","1.4413","1.4364","1.4436","1.4282","0.31%"
"Jan 05, 2010","1.4369","1.4409","1.4484","1.4346","-0.31%"
